"","Sym","Syn"
"274","Ssbp1","2810480P10Rik|G630031O20Rik|MtSSB|mtDB|mtDBP"
"275","Vwa8","1300010F03Rik|4932416F07Rik|AI957255|Kiaa0564|mKIAA0564"
"276","Mrpl16","2310039D06Rik"
"277","Mrpl48","1810030E20Rik|2610028L11Rik|CGI-11|CGI-118|D4Ertd786|D4Ertd786e|L48mt|MRP-L48"
"278","mt-Nd4","-"
"279","Mgme1","8430406I07Rik|AI426476"
"280","Poldip2","1300003F06Rik|Pdip38"
"281","Acot2","AA571646|MTE-|MTE-I|Mte1"
"282","Hmgcl","AW476067|HL"
"283","Etfb","0610009I16Rik|2810441H06Rik"
"284","Cox4i1","AL024441|CO|COX|COX IV-1|COXIV|Cox4|Cox4a|IV-1"
"285","Rmnd1","0610042C05Rik|AA408137|AI462664|AW536662"
"286","Nfs1","AA987187|m-Nf|m-Nfs1|m-Nfsl"
"287","Stoml2","0610038F01Rik|MSLP2|SL|SLP-2"
"288","Fam162a","2310056P07Rik|HGTD-P"
"289","Rhot1","2210403N23Rik|AA415293|AF244542|AI834919|Arh|Arht1|C430039G08Rik|Mi|Miro1"
"290","Aass","LKR|LKR/SDH|LOR|LOR/SDH|Lo|Lorsdh|SDH"
"291","Cox6b1","2010000G05Rik|COX VIb-1|Cox6b"
"292","Mrrf","2400002D02Rik|MRFF|MTRRF|RRF"
"293","Hibadh","6430402H10Rik|AI265272"
"294","Hadh","AA409008|AU019341|AW742602|HCDH|Hadhsc|Sch|Schad"
"295","Pars2","BC027073"
"296","Cox11","2010004I09Rik"
"297","Nlrx1","BC034204|NOD9"
"298","Cox6a1","VIaL"
"299","Mrpl21","BC028768|L21mt|MRP-L21"
"300","Vdac3","-"
"301","Mfn1","2310002F04Rik|6330416C07Rik|D3Ertd265|D3Ertd265e|HR|HR2|mKIAA4032"
"302","Acat1","6330585C21Rik|Ac|Acat"
"303","Htra2","AI481710|Htr|O|Omi|Pr|Prss25|mnd|mnd2"
"304","Iba57","4930543L23Rik|A230051G13Rik|C1orf69"
"305","Ndufs3","0610010M09Rik|CI-30kD"
"306","Timmdc1","2810021C21Rik|4930455C21Rik|AV135763"
"307","Aco2","Ac|Aco|Aco-2|Aco3|D10Wsu183|D10Wsu183e"
"308","Pdp1","Gm1024|Ppm|Ppm2c"
"309","Etfa","2010200I21Rik|D9Ertd394|D9Ertd394e"
"310","Pdss2","5430420P03Rik|Gm60|P|Plmp|kd|mDL|mDLP1"
"311","Samm50","1110030L07Rik"
"312","Acsf2","-"
"313","Supv3l1","6330443E10Rik"
"314","Hars2","4631412B19Rik|H|HARSR|HO|HO3|Harsl"
"315","Bdh1","2310032J20Rik|AI327223|Bdh"
"316","Tomm40","AW539759|Mom35|Tom4|Tom40"
"317","Uqcrfs1","4430402G14Rik|AI875505"
"318","Shmt2","2700043D08Rik|AA408223|AA986903|SHMT"
"319","Slc25a46","1200007B05Rik|AI325987"
"320","Mrps24","3110030K20Rik|AI414579|MRP-S24|Rpm|Rpms24|S24mt"
"321","Cyp27a1","1300013A03Rik|Cyp2|Cyp27"
"322","Chchd3","0610041L09Rik|1700039J09Rik|AW558177|Mico|Micos19"
"323","Aldh2","AHD-M1|ALDH-E2|ALDHI|Ahd|Ahd-|Ahd-5|Ahd5"
"324","mt-Co2","-"
"325","mt-Cytb","-"
"326","Alas1","A|ALAS|ALAS-N|Al|Alas-1|Alas-h"
"327","Pmpca","1200002L24Rik|4933435E07Rik|Alp|Alpha-MPP|IN|P-55"
"328","Mtx2","1500012G02Rik"
"329","Prdx5","AOEB1|AOEB166|AOPP|P|PLP|PMP|Pmp20|Prd|Prdx6|PrxV"
"330","Rexo2","1810038D15Rik|AW107347|Rex|Rex2|S|Sfn|Sm|Smfn"
"331","Ndufv3","1500032D16Rik"
"332","Idh3a","1110003P10Rik|1500012E04Rik|AA407078|AI316514"
"333","Yme1l1","Fts|FtsH1|Ftsh"
"334","Tamm41","1500001M20Rik|TAM41"
"335","mt-Nd5","-"
"336","Lyrm7","1700024C24Rik|9330147L21Rik"
"337","Hadha","C77020|Mt|Mtpa|TP-alpha"
"338","Diablo","0610041G12Rik|1700006L01Rik|AU040403|Sm|Smac"
"339","Acaa2","0610011L04Rik|AI255831|AI265397|D18Ertd240|D18Ertd240e"
"340","Ndufaf2","1810058I14Rik|C86051|Ndufa|Ndufa12l|mim|mimitin"
"341","Rmdn3","1200015F23Rik|AI131757|Fam82|Fam82a2|Ptpip51|RMD-3|Rmd3"
"342","Atad3a","2400004H09Rik|Atad3|Tob|Tob3|mKIAA1273"
"343","Ppox","Ppo"
"344","Coq4","D2Ertd97|D2Ertd97e"
"345","Aldh7a1","Atq|Atq1|D18Wsu181|D18Wsu181e"
"346","Aldh1l2","D330038I09Rik|mtFDH"
"347","Agk","2610037M15Rik|6720408I04Rik|AI465370|MuL|Mulk"
"348","Mrpl15","HSPC1|HSPC145|MRP|MRP-L7|Rp|Rpml7"
"349","Gadd45gip1","2310040G17Rik|AI425883|Cri|Crif1|MRP-L59|Plinp1"
"350","Pycr2","1810018M05Rik|P5c|P5cr2"
"351","Xpnpep3","APP3|E430012M05Rik"
"352","Ndufa4","ML|MLRQ"
"353","Tst","Rhod|rhodanese"
"354","Fam136a","2010309E21Rik|AW124904|Hyccin"
"355","Ppa2","1110013G13Rik|Sid63|Sid6306"
"356","Mrpl47","4833424P18Rik|CGI-20|CGI-204|Gm9859|L47mt|MRP-L47|MTF/L47|NCM|NCM1"
"357","Uqcrh","2210416J04Rik|2310021J10Rik|2610041P16Rik"
"358","Atpaf2","ATP|ATP12|ATP12p"
"359","Timm22","Tim22"
"360","Pdk3","2610001M10Rik|AI035637"
"361","Nubpl","2410170E07Rik"
"362","Smdt1","1500032L24Rik|Emr|Emre"
"363","Dnajc11","E030019A03Rik"
"364","Uqcrc2","1500004O06Rik"
"365","Macrod1","AI604841|AW743046|D930010J01Rik|Lrp16"
"366","Mrpl30","2310001L22Rik|L30mt|MRP-|MRP-L28|MRP-L30|Rpm|Rpml28"
"367","Aifm1","A|AIF|AIFsh2|Hq|Pdcd|Pdcd8"
"368","Ak3","AA407498|AI506714|AK-|AK-3|Ak3l|Ak3l1|Akl3l"
"369","Mrpl38","1110036N21Rik|4733401F03Rik|MRP|MRP-L3|R75240|Rp|Rpml3"
"370","Mrpl24","2010005E08Rik|2810470K06Rik|6720473G22Rik|AA407670"
"371","Ndufb9","1190008J14Rik|CI-B22"
"372","Polrmt","1110018N15Rik|4932416K13"
"373","Isca1","1810010A06Rik|Hbld|Hbld2"
"374","Mrpl42","2700009F22Rik|2900055D03Rik|D10Ertd322|D10Ertd322e|HSPC2|HSPC204|L31mt|L42mt|MRP-|MRP-L31|MRP-L42|MRP-S32|PTD00|PTD007|Rpm|Rpml31|S32mt"
"375","Mpst","Mst"
"376","Mrps18b","2400002C15Rik|MRP-S18-2|S18mt-b"
"377","Gstz1","GSTZ1-1|MAAI"
"378","Lias","2900022L22Rik|4933425M12Rik|7a5e|7a5ex|C77512|LS|lip-syn|mL"
"379","Pdpr","4930402E16Rik|AU018056|mKIAA1990"
"380","Hadhb","4930479F15Rik|Mtp|Mtpb|TP-beta"
"381","Gm10053",NA
"382","Aldh4a1","A930035F14Rik|ALD|Ahd|Ahd-|Ahd-1|Ahd1|Aldh4|Aldh5a1|E330022C09|P5cd|P5cdh|P5cdhl|P5cdhs|Ssd|Ssdh1"
"383","Slc25a13","AI785475|Ct|Ctrn|ci"
"384","Dld","-"
"385","Mrpl55","2810038N09Rik|L55mt|MRP-L55"
"386","Atpaf1","6330547J17Rik|AI593252|ATP|ATP11|ATP11p"
"387","Nfu1","0610006G17Rik|CGI-3|CGI-33|Hi|Hirip5"
"388","Acad12","9330129D05Rik"
"389","Slc25a4","AU019225|An|Ant1|mANC1"
"390","Slc25a22","1300006L01Rik|AI060884|Gc1"
"391","Tufm","2300002G02Rik|C76308|C76389|EF-TuMT|EFTU"
"392","Ndufaf3","4733401H18Rik"
"393","Malsu1","2410003K15Rik|Matsu1"
"394","Sdhaf1","0610010E21Rik|AI430885|AW490662|Lyr|Lyrm8"
"395","Pam16","2010110I09Rik|AV006767|CGI-13|CGI-136|Mag|Magmas|Tim1|Tim16|Timm16"
"396","Ndufb2","1810011O01Rik|8kD|8kDa|AGGG|AI325567|CI-AGGG"
"397","Rars2","1500002I10Rik|PRO1|PRO1992|Rarsl"
"398","Mrpl32","0610033O15Rik"
"399","Gcat","AI526977|Kb|Kbl"
"400","Dnajc19","1810055D05Rik|AA959924|Tim14"
"401","Suox","SO"
"402","Nme4","2610027N22Rik|2810024O08Rik|5730493H09Rik|NM23-M|NM23-M4|Nm23M4"
"403","Adhfe1","6330565B14Rik|AI043035|Adh8|HOT"
"404","Noa1","2610024G14Rik|AU022345|AtNOS1|mAt|mAtNOS1"
"405","Slc25a1","1300019P08Rik|2610100G11Rik|AI194714|Ctp|Dgs|Dgsj|Slc2|Slc20a3"
"406","Phb2","AU044498|BAP|Bap37|Bcap|Bcap37|R|REA"
"407","Mrps12","AI327385|Rpm|Rpms12|rp|rps12"
"408","Mrps18a","1110004O20Rik|C79712"
"409","Mrpl3","2010320L16Rik|5930422H18Rik|AA407889|L3mt|dc|dcr"
"410","Echs1","C80529|SCEH"
"411","Glud1","AI118167|Gdh-X|Glu|Glud|Gludl"
"412","Ndufa5","2900002J19Rik|CI-13kD-B"
"413","Ech1","AA617331"
"414","Mrps6","AW046321"
"415","Isca2","0710001C05Rik|5730594E03Rik|Hbld|Hbld1"
"416","Acadvl","VL|vlcad"
"417","Gsr","AI325518|D8Ertd238|D8Ertd238e|Gr-|Gr-1|Gr1"
"418","Slc25a5","An|Ant2"
"419","Pde12","2'-PDE|E430028B21Rik"
"420","Ddx28","2410004K13Rik|AI449652|Mddx28"
"421","Gldc","D030049L12Rik|D19Wsu57|D19Wsu57e|b2b2679C|b2b2679Clo"
"422","Fh1","Fh|Fh-1|fuma"
"423","Mtfp1","1700020C11Rik|2610507A21Rik|AV005788|Mtp1|Mtp18"
"424","Hk2",NA
"425","Mrps33","AI841153|CGI-13|CGI-139|Gda|Gdap3|MRP-|MRP-S33|PTD00|PTD003"
"426","Ak2","Ak-|Ak-2|D4Ertd220|D4Ertd220e"
